ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AZE,Azerbaijan,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73340.9375,72827.546875,56368.51953125,43347.1953125,34827.34375,30711.634765625,31095.921875,32902.3359375,36190.58984375,38867.37109375,43179.4453125,47455.19921875,52470.6875,58324.8984375,64245.9453125,81218.375,109203.28125,136558,151250.25,165311.015625,173574.34375,173697.78125,177458.625,187768.609375,192933.1875,195136.046875,189017.140625,189170.40625,192100.3125,196872.59375,188522.796875,199111.3125,208403.4375,210670.96875
AZE,Azerbaijan,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7665.3623046875,8341.1494140625,9466.24609375,9934.23828125,11238.390625,12164.228515625,14696.302734375,18339.275390625,22813.67578125,26930.28515625,30894.36328125,35604.12109375,43765.5,57618.72265625,73133.265625,88250.0546875,104812.46875,121845.7265625,142671.375,161234.125,180716.234375,209297.765625,242378.828125,284177,329288.96875,368307.34375,394848.4375,419901.53125,441449.65625,462980.34375,480677.28125,493571.0625,504591.75,520993.125
BDI,Burundi,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,2446.83618164063,2098.01953125,2275.58081054688,2411.03857421875,2568.5380859375,2694.09326171875,2802.97119140625,3200.478515625,3190.3515625,3132.34887695313,3857.01123046875,3982.28735351563,3744.0986328125,4002.50244140625,3981.291015625,3982.111328125,4396.142578125,4793.9443359375,5027.44482421875,5109.30224609375,5016.13623046875,5563.52978515625,5539.56396484375,5711.77490234375,5706.09130859375,6372.90185546875,6616.3046875,6887.189453125,7224.142578125,7331.3037109375,7587.88720703125,7992.58642578125,8136.91015625,7565.00830078125,7331.65966796875,6816.89404296875,6230.11474609375,6253.76416015625,6534.529296875,6469.21240234375,6410.9501953125,6545.6123046875,6840.12890625,6758.03857421875,7041.13671875,7105.21142578125,7489.921875,7745.80029296875,8125.37451171875,8433.103515625,8862.5234375,9220.1708984375,9628.0205078125,10099.6865234375,10527.4619140625,10484.5986328125,10820.1025390625,11234.7705078125,11830.9619140625,12358.6279296875,12399.0615234375,12783.431640625,13019.7978515625,13371.33203125
BDI,Burundi,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,7228.82177734375,7115.4970703125,7039.47265625,6939.77001953125,6840.06103515625,6768.732421875,6746.83837890625,6752.2978515625,6803.67724609375,6853.1640625,6813.697265625,6938.8408203125,6818.36669921875,6822.6650390625,6981.7978515625,7033.982421875,7217.72998046875,7586.39892578125,8034.404296875,8498.3779296875,8917.955078125,9476.2265625,10048.9970703125,10732.455078125,11478.392578125,12093.8623046875,12716.5771484375,13307.1474609375,13516.3193359375,13791.9111328125,13717.697265625,13658.537109375,13668.6435546875,13759.49609375,13624.1826171875,13483.3232421875,13461.861328125,13430.138671875,13439.8076171875,13921.419921875,13911.8876953125,13965.0498046875,14046.658203125,14525.7890625,15229.830078125,15778.91796875,16266.9130859375,16704.26953125,17150.345703125,17894.25390625,18853.1875,19830.08984375,20804.6640625,21765.130859375,22829.833984375,23609.646484375,24462.92578125,25370.279296875,26346.544921875,27241.63671875,27774.306640625,28384.6640625,29043.12890625,29804.185546875
BEL,Belgium,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),101448.75,105264.96875,107826.1484375,111387.453125,116298.125,120430.1875,124222.96875,126638.6484375,125966.6640625,130397.953125,137849.265625,144828.984375,152506.671875,159137.390625,170304.9375,176237.6875,181472.453125,188452.171875,197176.8125,209391.296875,223350.734375,231733.125,243912.21875,258845.296875,269715.875,266136.71875,281180.8125,282941.34375,291081,297895.4375,311134.0625,310265.125,312111.15625,313084.4375,320806.3125,326105.375,332049.5,339708.71875,355753.90625,368095.59375,379644.25,386603.40625,392520.96875,388745.375,401290.125,410859.90625,416289.15625,432081.78125,440558.5,456166.25,473120.625,478323.03125,486487.5,491537.0625,509090.875,520910.625,534206,553848.375,556323.5625,545717.5625,560508.25,571332.5,572565.5,574314.625,584454.375,593070.1875,600148.5,608997.5,620434.25,635590.75,605127.0625,642660.375,669866.9375,678251.6875
BEL,Belgium,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),547541.1875,559970.5,571987,584801.25,601357.6875,616553,636531.875,655205.625,666287.9375,682695.8125,702283.9375,727756,754090.0625,779135.25,815040.3125,849186.5,887856.5,925111.5,961204.8125,1003458.75,1050517.625,1093295.125,1136637.5,1183348.125,1233557.375,1278045.5,1322845,1364844,1406568.125,1442419.75,1493110.875,1521541.125,1545232.75,1563646.375,1584626.625,1608972.875,1635544.875,1666101.625,1711661,1768083.375,1832177.25,1887045,1941096.375,1989658.125,2037588.625,2091341.625,2144459.25,2204888.25,2265880.75,2329884.25,2397628,2463592,2516897.25,2566361.25,2626834.25,2694271.75,2761498,2838901.5,2915968.25,2975180.25,3032534.75,3097750.75,3162041,3219927,3287282,3358413,3434728.5,3509448.25,3586937.5,3670727.75,3737975.75,3814143.5,3893210.75,3976496
BEN,Benin,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,2473.064453125,2629.70385742188,2663.7861328125,2565.71508789063,2708.67919921875,2822.39770507813,2970.57275390625,3075.94140625,3287.06176757813,3458.04638671875,3653.4248046875,3721.28759765625,3798.80419921875,4171.857421875,4351.63525390625,4647.35400390625,4329.322265625,4390.60595703125,4580.90234375,4556.611328125,4921.53369140625,5385.0224609375,5687.87451171875,6301.1748046875,6027.330078125,6505.30419921875,6995.0712890625,7145.357421875,7038.17822265625,7251.74755859375,7200.4365234375,7846.7568359375,8178.34521484375,8420.2373046875,8911.6572265625,9091.7080078125,10012.8623046875,11295.177734375,12912.9775390625,14514.8623046875,16532.109375,17500.515625,18433.841796875,19289.732421875,19953.98828125,20837.88671875,21194.87109375,22030.74609375,23349.580078125,24492.91015625,25060.974609375,25590.77734375,26349.2265625,27616.9453125,29603,31485.0625,32044.91796875,33115.109375,34993.2578125,37336.84375,39900.2734375,41435.953125,44400.8828125,47177.37890625,50174.47265625
BEN,Benin,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,6089.37548828125,6992.6220703125,7839.09228515625,8623.33984375,9470.4033203125,10154.8974609375,10753.78125,11375.89453125,12360.0263671875,13423.0146484375,14513.154296875,15440.7490234375,16382.4609375,17833.716796875,18973.9375,20224.986328125,21362.28515625,22035.359375,22647.755859375,23096.951171875,24354.384765625,25703.595703125,26840.787109375,29122.88671875,29785.791015625,30030.189453125,29867.603515625,30092.671875,30488.2265625,30592.015625,30643.03515625,30951.951171875,31379.384765625,31875.03515625,32473.779296875,33092.10546875,33894.0390625,34681.44921875,35654.43359375,36688.98046875,37857.20703125,38915.63671875,40384.35546875,41612.46484375,43077.0390625,44408.41796875,45423.7109375,46411.1484375,48179.3125,49899.2734375,51882.31640625,54265.7109375,56818.203125,59321.58203125,64057.80859375,69450.2578125,74951.609375,80206.1015625,87380.78125,95925.5703125,105316.578125,114562.109375,125896.8984375,138813.671875,153881.390625
BFA,Burkina Faso,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,4307.736328125,4326.49365234375,3760.66381835938,3939.95361328125,3865.7705078125,3934.25,3875.39135742188,3863.77734375,4195.47021484375,4378.623046875,4449.380859375,4519.56005859375,4499.6064453125,5509.14697265625,5223.619140625,5511.6455078125,5642.9267578125,5586.9892578125,5981.9541015625,6680.61962890625,6723.36083984375,6835.6240234375,7135.53466796875,7294.71630859375,7209.4267578125,7326.2431640625,8283.330078125,8941.8447265625,8920.5751953125,9437.857421875,9641.197265625,9582.4931640625,10452.0048828125,10475.826171875,10839.1162109375,10981.19921875,11609.083984375,12887.794921875,13701.8955078125,14703.1923828125,15621.1123046875,15916.111328125,16968.708984375,17707.349609375,19088.96484375,19943.85546875,21671.3671875,23026.51171875,23973.220703125,25363.666015625,26114.923828125,28320.666015625,30196.21875,32144.68359375,34006.6875,35478.10546875,36869.28125,39065.94921875,41489.40234375,44229.59765625,46834.3671875,47776.1015625,51092.96875,51857.953125,53393.04296875
BFA,Burkina Faso,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,2423.9814453125,2421.80126953125,2445.16040039063,2481.78637695313,2510.54125976563,2542.68286132813,2632.42114257813,2717.16357421875,2785.92114257813,2861.11767578125,2970.40698242188,3083.7587890625,3585.54418945313,3850.0498046875,4182.552734375,4573.11279296875,4878.85888671875,5162.55029296875,5428.77197265625,5717.0166015625,6549.7783203125,7245.81201171875,7969.46923828125,8717.8671875,9324.1552734375,9874.150390625,10783.60546875,11648.5029296875,12547.34765625,13421.119140625,14442.1669921875,15291.1748046875,16327.7119140625,17272.162109375,18147.830078125,19351.423828125,20346.201171875,21421.96484375,22671.826171875,23816.6328125,24784.625,25682.244140625,26480.09765625,27318.703125,28379.423828125,29709.6015625,31256.294921875,32963.33203125,35008.35546875,37085.9375,39697.59375,42896.53515625,46661.15234375,51000.796875,55619.1171875,59021.4609375,63188.9140625,68054.984375,73323.203125,78965.4296875,85553.09375,92309.5234375,99150.890625,104358.2265625,109542.1796875
